epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87575,1.41483,3.9189,1.38033,0.5627,0.39286,0.52004,0.31898,1.22478,2.71089,1.25419,6.545e-05,6.545e-05,6.545e-05
2,15.326,1.23286,1.43322,1.24385,0.71949,0.9652,0.86839,0.61099,1.07325,1.13432,1.10466,0.000133416,0.000133416,0.000133416
3,22.5485,1.19485,1.0594,1.2168,0.83615,0.99231,0.98206,0.6651,1.09733,0.95317,1.16708,0.00020001,0.00020001,0.00020001
4,29.7565,1.12166,0.90482,1.12954,0.89954,0.91745,0.995,0.679,1.1399,0.87666,1.17099,0.000265232,0.000265232,0.000265232
5,36.928,1.0933,0.83204,1.11684,0.93564,0.95028,0.99347,0.68031,1.11951,0.64233,1.14977,0.000329081,0.000329081,0.000329081
6,44.3632,1.02105,0.7485,1.08284,0.88186,0.91941,0.94074,0.66123,1.18707,0.60722,1.26223,0.000365942,0.000365942,0.000365942
7,51.5278,0.99607,0.6947,1.0853,0.9043,0.98077,0.98972,0.69565,1.02546,0.59847,1.09883,0.000362131,0.000362131,0.000362131
8,58.7372,0.98265,0.62528,1.0604,0.90223,0.98901,0.98445,0.68776,1.14942,0.56639,1.25435,0.000358319,0.000358319,0.000358319
9,65.9026,0.9627,0.60716,1.06791,0.87431,0.98901,0.9906,0.64877,1.24091,0.59015,1.30869,0.000354508,0.000354508,0.000354508
10,73.2216,0.97571,0.58906,1.07726,0.91052,0.98901,0.98924,0.66339,1.22466,0.61562,1.29056,0.000350697,0.000350697,0.000350697
11,80.2858,0.96702,0.60143,1.07471,0.91916,0.98901,0.98924,0.69584,1.09455,0.5587,1.17259,0.000346885,0.000346885,0.000346885
12,87.4479,0.94908,0.56953,1.06531,0.93345,0.98338,0.99429,0.69786,1.1064,0.55552,1.19721,0.000343074,0.000343074,0.000343074
13,94.5841,0.92175,0.55785,1.05076,0.92298,0.97802,0.98248,0.71974,1.01391,0.55157,1.11508,0.000339262,0.000339262,0.000339262
14,101.921,0.8968,0.54009,1.03477,0.95303,0.9447,0.98389,0.72873,1.02395,0.53842,1.16131,0.00033545,0.00033545,0.00033545
15,109.295,0.90115,0.53679,1.04897,0.88408,0.98343,0.9825,0.70192,0.96107,0.47888,1.16639,0.000331639,0.000331639,0.000331639
16,116.599,0.87828,0.50646,1.03413,0.9162,0.98901,0.98882,0.74775,0.95813,0.51105,1.13148,0.000327827,0.000327827,0.000327827
17,123.933,0.86734,0.49822,1.02764,0.95063,1,0.995,0.65427,1.1546,0.59565,1.15828,0.000324016,0.000324016,0.000324016
18,131.215,0.85194,0.49902,1.02812,0.95156,0.94505,0.98776,0.71151,1.02786,0.49875,1.11642,0.000320204,0.000320204,0.000320204
19,138.636,0.81531,0.47964,1.00928,0.95426,0.93207,0.99429,0.75477,0.95989,0.48068,1.09252,0.000316393,0.000316393,0.000316393
20,145.979,0.84802,0.49515,1.02468,0.90582,0.97213,0.98884,0.72573,1.03703,0.50145,1.12046,0.000312581,0.000312581,0.000312581
21,153.311,0.8243,0.48506,1.00974,0.89674,0.97802,0.99279,0.70892,1.04601,0.51272,1.18963,0.00030877,0.00030877,0.00030877
22,160.753,0.81709,0.47145,1.00972,0.93408,1,0.995,0.7225,1.05044,0.50054,1.18414,0.000304958,0.000304958,0.000304958
23,167.981,0.80424,0.46246,0.99475,0.92568,0.98901,0.99429,0.71125,1.00625,0.50194,1.11082,0.000301147,0.000301147,0.000301147
24,175.36,0.7783,0.45661,0.99369,0.92919,0.97068,0.99347,0.7423,0.96971,0.49619,1.10981,0.000297335,0.000297335,0.000297335
25,182.778,0.82129,0.46491,1.00703,0.94605,0.96205,0.98654,0.72592,0.99403,0.55224,1.10921,0.000293524,0.000293524,0.000293524
26,190.229,0.8043,0.4531,1.00183,0.93798,0.96777,0.995,0.73401,0.95036,0.49513,1.07669,0.000289712,0.000289712,0.000289712
27,197.383,0.7628,0.43891,0.98618,0.93538,0.99609,0.995,0.69328,0.97425,0.4874,1.10316,0.000285901,0.000285901,0.000285901
28,204.663,0.77233,0.44119,0.98615,0.97433,0.9453,0.99429,0.71009,0.97301,0.47188,1.1082,0.000282089,0.000282089,0.000282089
29,211.953,0.77131,0.43223,0.99946,0.95768,0.97819,0.99429,0.73913,0.95208,0.43927,1.08196,0.000278278,0.000278278,0.000278278
30,219.319,0.76364,0.42342,0.9902,0.93667,0.98966,0.99429,0.72197,0.99531,0.47968,1.09926,0.000274466,0.000274466,0.000274466
31,226.73,0.73618,0.42102,0.97903,0.9328,0.97439,0.995,0.72832,0.98753,0.43813,1.10955,0.000270655,0.000270655,0.000270655
32,234.164,0.77485,0.42234,1.00187,0.82338,1,0.92172,0.74123,0.92176,0.4376,1.05655,0.000266843,0.000266843,0.000266843
33,241.575,0.76443,0.41755,0.99238,0.97116,0.95762,0.995,0.74743,0.93764,0.427,1.08179,0.000263032,0.000263032,0.000263032
34,248.826,0.74418,0.4224,0.98705,0.9368,0.99511,0.995,0.73174,0.94838,0.41843,1.10053,0.00025922,0.00025922,0.00025922
35,256.346,0.73957,0.40872,0.98209,0.96618,0.97854,0.995,0.74289,0.96318,0.44252,1.10458,0.000255409,0.000255409,0.000255409
